region	bank	addr	len	symbol	role	sect	group	verify	desc
WRAM0	-	$C112	1	wSprite01StateData1ImageIndex	entry	Sprite State Data	sprites	rom,live	Which frame is showing: the high nybble picks the video-RAM pattern slot and the low nybble indexes the facing-and-animation table. `$FF` means off screen, do not draw.
WRAM0	-	$C113	1	wSprite01StateData1YStepVector	entry	Sprite State Data	sprites	rom,live	How far map object 1 moves vertically per frame of a step.
WRAM0	-	$C114	1	wSprite01StateData1YPixels	entry	Sprite State Data	sprites	rom,live	Screen position of map object 1, vertical. The engine owns it while a step is in progress — that is what `wWalkCounter` being non-zero means.
WRAM0	-	$C115	1	wSprite01StateData1XStepVector	entry	Sprite State Data	sprites	live	How far map object 1 moves horizontally per frame of a step.
WRAM0	-	$C116	1	wSprite01StateData1XPixels	entry	Sprite State Data	sprites	rom,live	Screen position of map object 1, horizontal.
WRAM0	-	$C117	1	wSprite01StateData1IntraAnimFrameCounter	entry	Sprite State Data	sprites	live	Frames left on object slot 1's current animation frame before it advances. Same field as `wSpritePlayerStateData1IntraAnimFrameCounter`, one slot over. Measured across a real playthrough (walk, a forced battle, menus): changed value, during intro; values seen: [0].
WRAM0	-	$C118	1	wSprite01StateData1AnimFrameCounter	entry	Sprite State Data	sprites	rom,live	Which frame of object slot 1's animation is currently showing. Measured across a real playthrough (walk, a forced battle, menus): changed value, during intro; values seen: [0].
WRAM0	-	$C119	1	wSprite01StateData1FacingDirection	entry	Sprite State Data	sprites	rom,live	Which way map object 1 faces: 0 down, 4 up, 8 left, 12 right.
WRAM0	-	$C11A	1	wSprite01StateData1YAdjusted	entry	Sprite State Data	sprites	live	Object slot 1's screen Y position, adjusted for the mid-step camera offset. Measured across a real playthrough (walk, a forced battle, menus): written from bank 1 `$4BE5` and bank 28 `$00B6`, during intro, walk/menus; values seen: [0, 16, 32, 208, 224, 240].
WRAM0	-	$C11B	1	wSprite01StateData1XAdjusted	entry	Sprite State Data	sprites	live	Object slot 1's screen X position, adjusted for the mid-step camera offset. Measured across a real playthrough (walk, a forced battle, menus): written from bank 1 `$4BEB` and bank 28 `$00B6`, during intro, walk/menus; 9 distinct values seen, 0-240.
WRAM0	-	$C11C	4	wSprite01StateData1CollisionData	entry	Sprite State Data	sprites	live	Which of the four directions are blocked for map object 1.
WRAM0	-	$C120	1	wSprite01StateData1End	entry	Sprite State Data	sprites	live	One past map object 1's first-bank structure.
WRAM0	-	$C120	1	wSprite02StateData1	instance	Sprite State Data	sprites	live	
WRAM0	-	$C120	1	wSprite02StateData1PictureID	instance	Sprite State Data	sprites	live	
WRAM0	-	$C121	1	wSprite02StateData1MovementStatus	instance	Sprite State Data	sprites	rom,live	
WRAM0	-	$C122	1	wSprite02StateData1ImageIndex	instance	Sprite State Data	sprites	rom,live	
WRAM0	-	$C123	1	wSprite02StateData1YStepVector	instance	Sprite State Data	sprites	live	
WRAM0	-	$C124	1	wSprite02StateData1YPixels	instance	Sprite State Data	sprites	rom,live	
WRAM0	-	$C125	1	wSprite02StateData1XStepVector	instance	Sprite State Data	sprites	live	
WRAM0	-	$C126	1	wSprite02StateData1XPixels	instance	Sprite State Data	sprites	rom,live	
WRAM0	-	$C127	1	wSprite02StateData1IntraAnimFrameCounter	instance	Sprite State Data	sprites	live	
WRAM0	-	$C128	1	wSprite02StateData1AnimFrameCounter	instance	Sprite State Data	sprites	rom,live	
WRAM0	-	$C129	1	wSprite02StateData1FacingDirection	instance	Sprite State Data	sprites	rom,live	
WRAM0	-	$C12A	1	wSprite02StateData1YAdjusted	instance	Sprite State Data	sprites	live	
WRAM0	-	$C12B	1	wSprite02StateData1XAdjusted	instance	Sprite State Data	sprites	live	
WRAM0	-	$C12C	4	wSprite02StateData1CollisionData	instance	Sprite State Data	sprites	live	
WRAM0	-	$C130	1	wSprite02StateData1End	instance	Sprite State Data	sprites	live	
WRAM0	-	$C130	1	wSprite03StateData1	instance	Sprite State Data	sprites	live	
WRAM0	-	$C130	1	wSprite03StateData1PictureID	instance	Sprite State Data	sprites	live	
WRAM0	-	$C131	1	wSprite03StateData1MovementStatus	instance	Sprite State Data	sprites	rom,live	
WRAM0	-	$C132	1	wSprite03StateData1ImageIndex	instance	Sprite State Data	sprites	rom,live	
WRAM0	-	$C133	1	wSprite03StateData1YStepVector	instance	Sprite State Data	sprites	live	
WRAM0	-	$C134	1	wSprite03StateData1YPixels	instance	Sprite State Data	sprites	rom,live	
WRAM0	-	$C135	1	wSprite03StateData1XStepVector	instance	Sprite State Data	sprites	live	
WRAM0	-	$C136	1	wSprite03StateData1XPixels	instance	Sprite State Data	sprites	rom,live	
WRAM0	-	$C137	1	wSprite03StateData1IntraAnimFrameCounter	instance	Sprite State Data	sprites	live	
WRAM0	-	$C138	1	wSprite03StateData1AnimFrameCounter	instance	Sprite State Data	sprites	rom,live	
WRAM0	-	$C139	1	wSprite03StateData1FacingDirection	instance	Sprite State Data	sprites	live	
WRAM0	-	$C13A	1	wSprite03StateData1YAdjusted	instance	Sprite State Data	sprites	live	
WRAM0	-	$C13B	1	wSprite03StateData1XAdjusted	instance	Sprite State Data	sprites	live	
WRAM0	-	$C13C	4	wSprite03StateData1CollisionData	instance	Sprite State Data	sprites	live	
WRAM0	-	$C140	1	wSprite03StateData1End	instance	Sprite State Data	sprites	live	
WRAM0	-	$C140	1	wSprite04StateData1	instance	Sprite State Data	sprites	live	
WRAM0	-	$C140	1	wSprite04StateData1PictureID	instance	Sprite State Data	sprites	live	
WRAM0	-	$C141	1	wSprite04StateData1MovementStatus	instance	Sprite State Data	sprites	rom,live	
WRAM0	-	$C142	1	wSprite04StateData1ImageIndex	instance	Sprite State Data	sprites	live	
WRAM0	-	$C143	1	wSprite04StateData1YStepVector	instance	Sprite State Data	sprites	live	
WRAM0	-	$C144	1	wSprite04StateData1YPixels	instance	Sprite State Data	sprites	live	
WRAM0	-	$C145	1	wSprite04StateData1XStepVector	instance	Sprite State Data	sprites	live	
WRAM0	-	$C146	1	wSprite04StateData1XPixels	instance	Sprite State Data	sprites	live	
WRAM0	-	$C147	1	wSprite04StateData1IntraAnimFrameCounter	instance	Sprite State Data	sprites	rom,live	
WRAM0	-	$C148	1	wSprite04StateData1AnimFrameCounter	instance	Sprite State Data	sprites	rom,live	
WRAM0	-	$C149	1	wSprite04StateData1FacingDirection	instance	Sprite State Data	sprites	live	
WRAM0	-	$C14A	1	wSprite04StateData1YAdjusted	instance	Sprite State Data	sprites	live	
WRAM0	-	$C14B	1	wSprite04StateData1XAdjusted	instance	Sprite State Data	sprites	live	
WRAM0	-	$C14C	4	wSprite04StateData1CollisionData	instance	Sprite State Data	sprites	live	
WRAM0	-	$C150	1	wSprite04StateData1End	instance	Sprite State Data	sprites	live	
WRAM0	-	$C150	1	wSprite05StateData1	instance	Sprite State Data	sprites	live	
WRAM0	-	$C150	1	wSprite05StateData1PictureID	instance	Sprite State Data	sprites	live	
WRAM0	-	$C151	1	wSprite05StateData1MovementStatus	instance	Sprite State Data	sprites	live	
WRAM0	-	$C152	1	wSprite05StateData1ImageIndex	instance	Sprite State Data	sprites	live	
WRAM0	-	$C153	1	wSprite05StateData1YStepVector	instance	Sprite State Data	sprites	live	
WRAM0	-	$C154	1	wSprite05StateData1YPixels	instance	Sprite State Data	sprites	rom,live	
WRAM0	-	$C155	1	wSprite05StateData1XStepVector	instance	Sprite State Data	sprites	live	
WRAM0	-	$C156	1	wSprite05StateData1XPixels	instance	Sprite State Data	sprites	live	
WRAM0	-	$C157	1	wSprite05StateData1IntraAnimFrameCounter	instance	Sprite State Data	sprites	live	
WRAM0	-	$C158	1	wSprite05StateData1AnimFrameCounter	instance	Sprite State Data	sprites	rom,live	
WRAM0	-	$C159	1	wSprite05StateData1FacingDirection	instance	Sprite State Data	sprites	live	
WRAM0	-	$C15A	1	wSprite05StateData1YAdjusted	instance	Sprite State Data	sprites	live	
WRAM0	-	$C15B	1	wSprite05StateData1XAdjusted	instance	Sprite State Data	sprites	live	
WRAM0	-	$C15C	4	wSprite05StateData1CollisionData	instance	Sprite State Data	sprites	live	
WRAM0	-	$C160	1	wSprite05StateData1End	instance	Sprite State Data	sprites	rom,live	
WRAM0	-	$C160	1	wSprite06StateData1	instance	Sprite State Data	sprites	rom,live	
WRAM0	-	$C160	1	wSprite06StateData1PictureID	instance	Sprite State Data	sprites	rom,live	
WRAM0	-	$C161	1	wSprite06StateData1MovementStatus	instance	Sprite State Data	sprites	rom,live	
WRAM0	-	$C162	1	wSprite06StateData1ImageIndex	instance	Sprite State Data	sprites	live	
WRAM0	-	$C163	1	wSprite06StateData1YStepVector	instance	Sprite State Data	sprites	live	
WRAM0	-	$C164	1	wSprite06StateData1YPixels	instance	Sprite State Data	sprites	rom,live	
WRAM0	-	$C165	1	wSprite06StateData1XStepVector	instance	Sprite State Data	sprites	live	
WRAM0	-	$C166	1	wSprite06StateData1XPixels	instance	Sprite State Data	sprites	live	
WRAM0	-	$C167	1	wSprite06StateData1IntraAnimFrameCounter	instance	Sprite State Data	sprites	live	
WRAM0	-	$C168	1	wSprite06StateData1AnimFrameCounter	instance	Sprite State Data	sprites	rom,live	
WRAM0	-	$C169	1	wSprite06StateData1FacingDirection	instance	Sprite State Data	sprites	live	
